slug	rank	id	frozen	link_form	asin	amazon_url	card_name	brand	maker_model	card_price	static_flags	amazon_title	amazon_price	amazon_stock	verdict	price_gap	seller_type	checked_at	judged_task	note
air-frame-tent	1	coleman-touring-air	0	amazonAsin	B0BHHBZTN8	https://www.amazon.co.jp/dp/B0BHHBZTN8	Coleman(コールマン) ツーリングドームエアー DARKROOM ST+(1~2人用)	Coleman		23600	OK	コールマン(Coleman) テント ツーリングドームエアー DARKROOM サイズ ST+(1~2人用)/LX+(2~3人用)	21998	in_stock(cart) 在庫あり。	model_mismatch	-7%	marketplace	2026-09-21T21:53:57Z	campkit-20260921-36	B0BHHBZTN8 は LX+(2~3人用) 変種（型番2000039085・¥21,998）。カード/見出し/まとめ表は ST+(1~2人用)・¥23,600。ST+ は同ページの B0BHHK24KM（未照合）
air-frame-tent	2	snowpeak-minit-proair	0	amazonAsin	B084CDH72M	https://www.amazon.co.jp/dp/B084CDH72M	スノーピーク(snow peak) ミニッツドーム Pro.air 1	スノーピーク		68000	OK	スノーピーク(snow peak) ミニッツドーム Pro.air 1	59800	in_stock(cart) 残り1点 ご注文はお早めに 在庫状況 について	ok	-12%	marketplace	2026-09-23T18:00:31Z	campkit-20260921-89	89: 差し替え B084C9J51D(同ページの[グランドシート]変種 SSD-712-1)→B084CDH72M([本体【1~2名】]変種)。36 が記録した候補を dp で検証: メーカー型番 SSD-712・サイズ欄 1〜2名・変種一覧2件[グランドシート/本体【1~2名】]で本体を選択・bullets のセット内容がフライシート/インナーテント/クロスフレーム×2/前室フレーム/ペグ15本と完全なテント一式・重量2.95kg・収納20x20x59cm・ブランド名 Snow Peak(スノーピーク)。カード name「スノーピーク(snow peak) ミニッツドーム Pro.air 1」とブランド・モデル名・対応人数が一致し、色は name が名指ししていないので 51 の規則により ok。Amazon 59800/カード 68000=-12% は同一商品の販売店差。seller_type: buybox の販売元は取得時により melochrome store(AP6DWDL6MPCZO) と 国東総合商店(A9YX1MCCIAARX) が入れ替わるが、両者の特商法 販売業者はそれぞれ melochrome store(古物商許可 埼玉県公安委員会431390053944)・国東総合商店 で、いずれも dp ブランド欄 Snow Peak(スノーピーク)／メーカー名 スノーピーク(snow peak) と一致も包含もせず経路②不成立。店舗名も英字 Snow Peak を含まず経路①不成立。販売元は Amazon.co.jp ではない→marketplace（どちらが buybox でも結論は同じ）
air-frame-tent	3	tomount-air-8	0	amazonAsin	B0FD3FRJG4	https://www.amazon.co.jp/dp/B0FD3FRJG4	TOMOUNT エアーテント 8㎡ インフレータブル ロッジ型 3~5人用	TOMOUNT		74499	shared_asin	TOMOUNT エアーテント 8㎡ インフレータブル ロッジ型 3~5人用 煙突穴付き ファミリー キャンプ 組立簡単 エアフレームテント アウトドア 防蚊虫 4シーズン 収納袋 空気入れ付き	74499	in_stock(cart) 残り3点 ご注文はお早めに 在庫状況 について	ok	0%	marketplace	2026-09-21T21:53:26Z	campkit-20260921-90	90: seller_type 棚卸し（#56 第2弾・チャンク2）。★official→marketplace。販売元「Travelcool Official Store」／dp ブランド欄 byline=MC・商品情報テーブル ブランド名=MC（メーカー名 MC・メーカー型番 MC-AIR8-tc）。経路①不成立（店舗名に MC が現れず、Travelcool は dp ブランド欄のどの表記とも一致しない。自称 Official を除いた土台でも同じ）。経路②不成立（ページ内に法人名の記載が1つも無い）。※dp タイトルは TOMOUNT だがブランド欄は MC。ASIN 自体はカード name と一致するので起票はしない（§9 に観察として記録）。
air-frame-tent	4	snowpeak-falle-proair	0	amazonAsin	B01N1RE1QO	https://www.amazon.co.jp/dp/B01N1RE1QO	スノーピーク(snow peak) ファル Pro.air 3	スノーピーク		49998	OK	スノーピーク(snow peak) ファル Pro.air	66000	in_stock(cart) 残り3点（入荷予定あり） 在庫状況 について	model_mismatch	+32%	amazon	2026-09-21T21:54:05Z	campkit-20260921-36	B01N1RE1QO は ファル Pro.air 2人用 本体（SSD-702・¥66,000）。カード/見出し/まとめ表は Pro.air 3（3人用・SSD-703・¥49,998）。3人用本体は同ページの B01MRWIJAF（未照合）。台帳L84は「価格完全一致」としていたが現在の dp は不一致
air-frame-tent	5	coleman-tuffscreen-air	0	amazonAsin	B09W5262RF	https://www.amazon.co.jp/dp/B09W5262RF	Coleman(コールマン) タフスクリーン2ルームエアー DARKROOM LDX+	Coleman		87800	OK	コールマン(Coleman) テント タフスクリーン2ルームエアー DARKROOM サイズ LDX+/MDX+	71515	in_stock(cart) 在庫あり。 在庫状況 について	model_mismatch	-19%	amazon	2026-09-21T21:55:09Z	campkit-20260921-36	B09W5262RF は MDX+ 変種（型番2000039084・¥71,515）。カードは LDX+（¥87,800）。LDX+ は同ページの B09W4GR15S（未照合）
alcohol-stove	1	al-titanmania	0	amazonAsin	B0DPZH59QY	https://www.amazon.co.jp/dp/B0DPZH59QY	チタンマニア アルコールストーブ チタン製	チタンマニア		2480	OK	TITAN MANIA(チタンマニア) アルコールストーブ チタン製 シングルコンロ アルコールバーナー コンパクト 調理器具 アルスト Ver.2	2480	in_stock(cart) 残り5点 ご注文はお早めに 在庫状況 について	ok	0%	marketplace	2026-09-21T21:55:13Z	campkit-20260921-90	90: seller_type 棚卸し（#56 第2弾・チャンク2）。★official→marketplace。販売元「受注後24時間以内に出荷！Legare（レガーレ）」／dp ブランド欄 byline=TITAN MANIA・商品情報テーブル ブランド名=TITAN MANIA（メーカー名 TITAN MANIA(チタンマニア)）。経路①不成立（自称「受注後24時間以内に出荷！」を除いた土台 Legare（レガーレ）に TITAN MANIA が現れない）。経路②不成立（ページ内に法人名の記載なし）。
alcohol-stove	2	al-gaobabu	0	amazonAsin	B07C2NRWX8	https://www.amazon.co.jp/dp/B07C2NRWX8	ガオバブ Gaobabu アルコールバーナー	ガオバブ		2660	OK	ガオバブ Gaobabuアルコールバーナー 収納袋付き アルコール燃料用目盛り付き 収納袋付き 長時間燃焼 真鍮製 調理用 消火蓋付き アルコールストーブ スピリットバーナー	3250	in_stock(cart) 残り3点 ご注文はお早めに 在庫状況 について	ok	+22%	official	2026-09-21T21:55:17Z	campkit-20260921-90	90: seller_type 棚卸し（#56 第2弾・チャンク1）。販売元「Gaobabuショップ」／dp ブランド欄 byline=Gaobabu・商品情報テーブル ブランド名=Gaobabu。経路①成立（英字表記そのもの＋一般名詞「ショップ」）。official 据え置き。
alcohol-stove	3	al-gotoku-set	0	none			アルコールストーブ 五徳セット シルバーゴールド（収納袋付き）	アルコールストーブ		1880	-									
alcohol-stove	4	al-bottle-set	0	none			アルコールストーブ バーナー（燃料ボトル付き）	アルコールストーブ		1390	-									
alcohol-stove	5	al-alocs	0	amazonAsin	B0BX8HLLKR	https://www.amazon.co.jp/dp/B0BX8HLLKR	ALOCS アロクス アルコールバーナー（ゴトク付き）	ALOCS		2020	OK	(アロクス) アルコールストーブ シングルバーナー CS-B02	1727	in_stock(cart) 通常3～4日以内に発送します。 在庫状況 について	unverifiable	-15%	reseller	2026-09-21T21:55:20Z	campkit-20260921-36	タイトル「(アロクス) アルコールストーブ シングルバーナー CS-B02」で型番は一致するが、ブランド欄 ARTIVITEE・詳細欄なし・seller 雑-貨-酒-店（転売型）で寸法/構成（ゴトク付き）を確認できない。¥1,727（カード¥2,020）
