slug	rank	id	score	name	rakuten_url	price	score_reason
camp-oil-stove	4	corona-sz-f32a	6	コロナ 対流形石油ストーブ SZ-F32A(CF)	https://item.rakuten.co.jp/corona-official/0134509000/	34800	型番+3(SZ-F32A) ブランド+2(corona) 公式店+1(corona-official)
camp-electric-heater	3	yamazen-dsf041	5	山善 あしもとあったかストーブ DS-F041(W) ホワイト 400W	https://item.rakuten.co.jp/e-kurashi/32802/	4280	型番+3(DS-F041) ブランド+2(yamazen)
camp-hot-carpet	2	yamazen-yzd-101fl	5	山善 ホットカーペット フローリング調 YZD-101FL 1畳 170×85cm 本体	https://item.rakuten.co.jp/e-kurashi/1440626/	12800	型番+3(YZD-101FL) ブランド+2(yamazen)
gas-lantern	4	gaslantern-rank-4	5	Coleman(コールマン) ルミエールランタン+純正LPガス燃料[Tタイプ] 205588+5103A230T	https://item.rakuten.co.jp/naturum/9904256/	5247	型番+3(5103A230T) ブランド+2(coleman)
headlight-rechargeable	1	nforce-sr01l	5	N-FORCE SR-01L 充電式ヘッドライト センサー点灯 LED 軽量 長時間	https://item.rakuten.co.jp/k-power/sq04_d/	2880	型番+3(SR-01L) ブランド+2(nforce)
soup-jar-camp	3	sj-thermos-jed400	5	サーモス 真空断熱スープジャー JED-400(0.4L)	https://item.rakuten.co.jp/rakuten24/405668/	3188	型番+3(JED-400) ブランド+2(thermos)
camp-air-pump	5	onetigris-ecoark-pump	3	OneTigris ECOARK 電動エアーポンプ 2400mAh	https://item.rakuten.co.jp/onetigris/ce-cqb02/	3608	ブランド+2(onetigris) 公式店+1(onetigris)
camp-electric-grill	2	iris-piha-a20b	3	アイリスオーヤマ ホットプレート 焼肉プレート2枚・たこ焼きプレート3枚・網焼き風プレート付き PIHA-A20B/PIHA-A30B/APA-139-B	https://item.rakuten.co.jp/kadenrand/560595/	7980	型番+3(PIHA-A20B) 複数型番-2(PIHA-A20B/PIHA-A30B/APA-139-B) ブランド+2(irisohyama)
camp-headlight-beginner	2	headlight-sr01l-sensor	3	【圧倒的な高評価レビュー1500件超】ヘッドライト 充電式ヘッドライト センサー点灯 ヘッドランプ LED 釣り 登山 アウトドア用 作業灯 軽量 長時間 SR-01L	https://item.rakuten.co.jp/k-power/sq04_d/	2880	型番+3(SR-01L)
camp-hot-carpet	4	hitachi-hhlu-s2020	3	日立 ホットカーペット HHLU-S2020 2畳 176×176cm 本体	https://item.rakuten.co.jp/shopworld/10139401/	14980	型番+3(HHLU-S2020)
