ファイル	slug	rank	商品名	Amazon商品URL	判定	アフィリエイトURL
worksheet2	family-camp-mat	2	キャンピングマット エアマット 自動膨張 ピロー付き 車中泊 冬用 インフレータブル ad011		該当なし	https://amzn.to/4pkzBxe
worksheet2	family-camp-mat	3	防災士監修 リバーシブル キャンピングマット 自動膨張 厚さ5cm 車中泊		該当なし	https://amzn.to/450BK7I
worksheet2	camp-backpack-beginner	2	tousen 登山リュック 40〜60L 大容量 バックパック 防水 軽量		該当なし	
worksheet2	camp-table-set	1	アウトドアテーブル 折りたたみ ベンチ2脚セット 幅90cm アルミ		該当なし	https://amzn.to/4wBnEp9
worksheet2	coleman-lantern	5	コールマン ラギッド パッカウェイランタン 電池式 LED 2000036871	https://www.amazon.co.jp/dp/B08P577J2W	一致	https://amzn.to/4w7WS8i
worksheet2	dod-tarp	1	DOD ビッグタープポール XP5-507	https://www.amazon.co.jp/dp/B079J1LN67	一致	https://amzn.to/4vy96pF
worksheet2	sleeping-bag-temperature-guide	3	Mt.happy 寝袋 マミー型 ダウン -25度 シュラフ 軽量 コンパクト		該当なし	
worksheet2	two-room-tent-guide	4	TOMOUNT テント 2ルーム TriArc Tunnel Tent V4 4人用 耐水圧2500mm		該当なし	https://amzn.to/4gBn71Z
batch3	two-room-tent-guide	4	TOMOUNT テント 2ルーム TriArc Tunnel Tent V4 4人用 耐水圧2500mm 500x310x195cm		該当なし	https://amzn.to/4gBn71Z
batch3	bonfire-stand-beginner	1	アイリスオーヤマ たき火台 TKB-ST43	https://www.amazon.co.jp/dp/B09XPYRKYL	一致	https://amzn.to/4vWLoEk
batch3	bonfire-stand-beginner	2	アイリスオーヤマ 焚き火三脚 トライポッド TKB-TP135	https://www.amazon.co.jp/dp/B09XQ4NYH4	一致	https://amzn.to/4w2PXgk
batch3	bonfire-stand-beginner	3	アイリスオーヤマ 焚き火テーブル 囲炉裏 TKB-TB98	https://www.amazon.co.jp/dp/B09XQKJ8JT	一致	https://amzn.to/4bk9TTG
batch3	bonfire-stand-beginner	4	TRGR 焚き火台 バーベキューコンロ 1〜2人用 エントリーモデル	https://www.amazon.co.jp/dp/B0D1XY14Q8	一致	https://amzn.to/4yh4S8g
batch3	bonfire-stand-beginner	5	BaTaRaN焚き火台 A4サイズ 五徳付き J05	https://www.amazon.co.jp/dp/B0CQ4T5KH8	一致	https://amzn.to/4wL0XiE
batch3	camp-burner-beginner	1	イワタニ カセットガス ジュニアコンパクトバーナー CB-JCB	https://www.amazon.co.jp/dp/B01J59SGCK	一致	https://amzn.to/4w2PZVu
batch3	camp-burner-beginner	2	SOTO AMICUS アミカス + パワーガス250トリプルミックス 2点セット	https://www.amazon.co.jp/dp/B01B36TQGS	要確認	https://amzn.to/3T2OiJ8
batch3	camp-burner-beginner	3	キャプテンスタッグ オーリック ガスバーナーコンロ・クッカーセット M-6400	https://www.amazon.co.jp/dp/B000BSCA5E	一致	https://amzn.to/4w4aeCv
batch3	camp-burner-beginner	4	SOTO レギュレーターストーブ ST-310 ＆ ボンベ ST-760 セット	https://www.amazon.co.jp/dp/B0CJB5HC85	一致	https://amzn.to/4vVaP9k
batch3	camp-burner-beginner	5	コールマン シングルバーナー アウトランダーマイクロストーブ PZ 203535	https://www.amazon.co.jp/dp/B000NIWG9W	一致	https://amzn.to/4bFIjQO
batch3	camp-chair-lightweight	1	YMBSTORE アウトドアチェア 軽量 アルミ ロータイプ	https://www.amazon.co.jp/dp/B08L4LCF56	要確認	https://amzn.to/4f1fdxG
batch3	camp-chair-lightweight	2	PONCOTAN ウルトラライトフィットチェア ロータイプ 超軽量	https://www.amazon.co.jp/dp/B09VP3XBD6	一致	https://amzn.to/4wctGwL
batch3	camp-chair-lightweight	3	PONCOTAN ウルトラライト ハイバックチェア 超軽量	https://www.amazon.co.jp/dp/B077N2M27N	一致	https://amzn.to/4vVaVhc
batch3	camp-chair-lightweight	4	Moon Lence アウトドアチェア 超軽量907g 耐荷重150kg CH-7	https://www.amazon.co.jp/dp/B0788F6Z6Z	一致	https://amzn.to/4f0VBcV
batch3	camp-chair-lightweight	5	山善 キャンパーズコレクション ディレクターチェア サイドテーブル付き DD-02WT	https://www.amazon.co.jp/dp/B0GJ82FPZC	要確認	https://amzn.to/4w1x39H
batch3	camp-cooker-beginner	1	クッカーセット アルミ 3点セット 鍋 ケトル フライパン 2-3人		該当なし	https://amzn.to/4phJcVD
batch3	camp-cooker-beginner	2	スノーピーク アルミパーソナルクッカーセット SCS-020R	https://www.amazon.co.jp/dp/B0CQYLGV9S	一致	https://amzn.to/4fzv0nu
batch3	camp-cooker-beginner	3	VASTLAND クッカー 4点セット アルミ コッヘル	https://www.amazon.co.jp/dp/B0B8LYQH14	一致	https://amzn.to/4ymqtfz
batch3	camp-cooker-beginner	4	コールマン パッカウェイクッカーセット 2000010530	https://www.amazon.co.jp/dp/B006WBD0M6	一致	https://amzn.to/3SYkzRO
batch3	camp-cooker-beginner	5	TITAN MANIA チタンクッカーセット 900ml+350ml 二段式	https://www.amazon.co.jp/dp/B0DMNLDXWP	要確認	https://amzn.to/3R9jgPk
batch3	camp-cooler-box-beginner	1	アイリスオーヤマ クーラーボックス 部活 CL-7/CL-15/CL-20/CL-25/CL-32/CL-45		該当なし	https://amzn.to/4f1IhoN
batch3	camp-cooler-box-beginner	2	ロゴス ハイパー氷点下クーラーM 12L 81670070	https://www.amazon.co.jp/dp/B004MX6O5G	一致	https://amzn.to/4haPa8r
batch3	camp-cooler-box-beginner	3	アイリスオーヤマ HUGEL VITC-40 クーラーボックス 40L チャコールグレー	https://www.amazon.co.jp/dp/B0B7RYDRRN	一致	https://amzn.to/4ppBpVS
batch3	camp-cooler-box-beginner	4	アイリスオーヤマ HUGEL VITC-20 クーラーボックス 20L チャコールグレー	https://www.amazon.co.jp/dp/B0B7S1MQ3L	一致	https://amzn.to/3TzmLPC
batch3	camp-cooler-box-beginner	5	ロゴス アクションクーラー25 ホワイト 81448033	https://www.amazon.co.jp/dp/B001ADVZ0U	一致	https://amzn.to/3RzeniA
batch3	camp-lantern-led	1	Soomloom 2Wayランタン Helio5000 300ルーメン 5000mAh	https://www.amazon.co.jp/dp/B0FKT4CV7Z	一致	https://amzn.to/4fk30mJ
batch3	camp-lantern-led	2	LEDランタン 63灯 USB 手回し ソーラー 電池 車載充電	https://www.amazon.co.jp/dp/B08GLGVGJ1	一致	https://amzn.to/3SPbT01
batch3	camp-lantern-led	3	LAD WEATHER LEDランタン 1000ルーメン 電池式 防滴防塵	https://www.amazon.co.jp/dp/B09BVG62QY	一致	https://amzn.to/4ffDxum
batch3	camp-lantern-led	4	BRUNO ブルーノ LEDランタン 電池式 無段階調光	https://www.amazon.co.jp/dp/B09D2WSXWQ	一致	https://amzn.to/4vY7ruj
batch3	camp-lantern-led	5	LEDランタン 充電式 5000mAh 1000LM 150時間		該当なし	https://amzn.to/4vtIAxw
batch3	camp-lighting-guide	1	M.O.L 充電式 LEDランタン 1200lm MOL-L1200	https://www.amazon.co.jp/dp/B0BNBGXNLY	一致	https://amzn.to/4vrRTxO
batch3	camp-lighting-guide	2	M.O.L 充電式LEDランタン MOL-L400 ロープハンドル 400lm	https://www.amazon.co.jp/dp/B08VFHJJLG	一致	https://amzn.to/4aQTeHa
batch3	camp-lighting-guide	3	バルミューダ ザ・ランタン BALMUDA The Lantern L02A	https://www.amazon.co.jp/dp/B07XF31GNH	一致	https://amzn.to/44wETMv
batch3	camp-lighting-guide	4	KZM ギルバートランタン LEDランタン 充電式		該当なし	
batch3	camp-lighting-guide	5	ledランタン ソーラーランタン 1800ルーメン 5000mAh 折り畳み		該当なし	
