platform	key	product_name	articles	article_count	ranks
amazon	B00005OHH3	ランドポート キャリー・ザ・サン SMALL ウォームホワイト	solar-lantern	1	3
amazon	B000231AXG	キャメロンズ ミニスモーカー Camerons	camp-smoker	1	3
amazon	B000AQXZME	イワタニプリムス P-153 ウルトラバーナー シングルバーナー	iwatani-stove	1	2
amazon	B000AR1KGQ	SOTO 燻家（スモークハウス）ST-114	camp-smoker	1	2
amazon	B000AR2N4O	スノーピーク チタンパーソナルクッカーセット SCS-020T 永久保証	titanium-cooker	1	2
amazon	B000AR2OBQ	スノーピーク ペグハンマー PRO.S N-002	peg-hammer	1	2
amazon	B000AR2P1A	スノーピーク チタンシェラカップ E-104	camp-gift;sierra-cup	2	1;1
amazon	B000AR4TJQ	キャプテンスタッグ アルミロールテーブル コンパクト M-3713 ローテーブル	captain-stag-table	1	1
amazon	B000AR5Y90	ユニフレーム(UNIFLAME) ファイアグリル	low-style-bonfire;uniflame-fire-grill	2	3;1
amazon	B000B5WLVU	ユニフレーム 焚き火テーブル 682104	takibi-table	1	1
amazon	B000BSCA5E	キャプテンスタッグ CAPTAIN STAG オーリック 小型 ガスバーナーコンロ・クッカーセット M-6400 ガスバーナー コンロ クッカー セット キャプテンスタッグクッカー キャプテンスタッグコンロ キャンプクッカーセット キャンプ クッカーセット ソロ キャンプ用品バーベキュー	camp-burner-beginner	1	3
amazon	B000FFL0X6	鉈 なたとのこ2丁組 NS-180 なたとのこぎりがセット（薪割り 道具 庭木 剪定 のこぎり 登山 なた ノコギリ セット アウトドア キャンプ）	camp-nata	1	5
amazon	B000FZX93U	スタンレー クラシック 真空ボトル 1.9L	thermal-bottle	1	5
amazon	B000G2KEGW	アウトドア用品 キャンピング折込包丁 ステンレス製 刃渡り11.5cm （ キャプテンスタッグ キャンプ用品 調理器具 CAPTAIN STAG 折りたたみ ナイフ キッチンツール グッズ バーベキュー BBQ ）	camp-knife-beginner	1	1
amazon	B000NIWG9W	【条件達成で最大10万ポイント獲得のチャンス！4/20〜4/30】コールマン シングルバーナー アウトランダーマイクロストーブ PZ 203535 coleman	camp-burner-beginner	1	5
amazon	B000NJK42C	キャプテンスタッグ ジュール ラウンジチェア ブラック キャンプチェア	captain-stag-chair	1	2
amazon	B000SXPWL6	ユニフレーム ファイアグリル ヘビーロストル 683118	uniflame-fire-grill	1	4
amazon	B0012OP8IW	ホンマ製作所 ステンレス時計1型薪ストーブセット	tent-wood-stove	1	3
amazon	B00131UMUI	キャプテンスタッグ EVAフォームマット 56×182cm M-3318 グリーン	closed-cell-mat	1	2
amazon	B0015XFQF0	イスカ パトロール ショート ロイヤルブルー 117212	isuka-sleeping-bag	1	1
amazon	B001ADSR56	SOTO レギュレーターストーブ ST-310 シングルバーナー	solo-camp-beginners-guide	1	4
amazon	B001ADUDIU	SOTO ( 新富士バーナー ) 虫の寄りにくいランタン ST-233 キャンプ 用品 オートキャンプ 用品 虫よけ 防災	gas-lantern	1	2
amazon	B001ADVZ0U	送料無料 LOGOS/ロゴス アクションクーラー25 ホワイト 81448033 81660642 クーラーボックス 冷蔵保存 キャンプ アウトドア フィッシング バーベキュー BBQ ハードケースクーラーボックス 倍速凍結・氷点下パックM 2個 あす楽対応	camp-cooler-box-beginner;camp-cooler-box-overall	2	5;3
amazon	B001D5O8HM	椙山紡織 ホットテーブルマット NA-171TM 60×110cm ブラウン 木目調	camp-hot-carpet	1	5
amazon	B001GLWMSU	ホンマ製作所 レジャーカマド 薪ストーブ RM-410	tent-wood-stove	1	5
amazon	B001GLYE6I	ホンマ製作所 クッキングストーブ 釜戸時計型 RS-41	tent-wood-stove;winter-camp-guide	2	1;5
amazon	B001P7CWZI	★【山岳軽量テント】アライテント　RIPENライペン1人用テント　エアライズ1　山岳テント　軽量　グリーン　テント泊登山	lightweight-mountain-tent	1	4
amazon	B001TPDMLE	ユニフレーム コーヒーバネット cute 664025	camp-coffee-dripper	1	1
amazon	B001UGID3E	スノーピーク(snow peak) マナイタセット M CS-207	folding-cutting-board	1	2
amazon	B001USYFWU	【ロゴス公式】倍速凍結 氷点下パック 単品 2点セット 3点セット 保冷剤 ロゴス 氷点下パック M / L / XL / ギャップバー / コンパクト 冷凍 保冷 冷却 抗菌仕様 強力保冷剤 アウトドア キャンプ バーベキュー BBQ LOGOS	cooler-ice-pack	1	3
amazon	B001VEJ3O8	キャプテンスタッグ ヘキサ ステンレス ファイアグリル L(3-4人用) M-6500	captain-stag-bonfire	1	1
amazon	B002NTQPEG	スノーピーク 火ばさみ N-020 トング ステンレス 木製ハンドル 永久保証	fire-tongs	1	1
amazon	B00363PS3W	コールマン コンバータコット2 ラウンジャー 折りたたみベッド/チェア 2WAY オーバーサイズ	family-camp-cot;solo-camp-cot	2	1;2
amazon	B003AKZ7BE	キャプテンスタッグ ヘキサ ステンレス ファイアグリル M(2-3人用) M-6498	captain-stag-bonfire	1	3
amazon	B003AKZ7FA	キャプテンスタッグ 火起こし器＆火消し壺セット（日本製）	charcoal-starter	1	4
amazon	B003DSUODY	ユニフレーム ファイアグリル収納ケース 683187	uniflame-fire-grill	1	5
amazon	B003KTSCQW	クーラーボックス 小型 部活 クーラーバッグ アイリスオーヤマ 7L 15L 20L 25L 32L 45L 保冷バッグ クーラーバッグ ミニ クーラーバスケット アウトドア レジャー BBQ 海水浴 運動会 行楽 キャンプ CL-7 CL-15 CL-20 CL-25 CL-32 CL-45	camp-cooler-box-overall	1	1
amazon	B003VUV3A2	千吉 日本製 鉈 小型石付き エビ鉈 枝打ち 薪割り 薪割りナタ なた ナタ 両刃 全鋼 キャンプ 道具 携帯用	camp-nata	1	4
amazon	B00426FAFI	アイリスオーヤマ ストーブガード 四方式 STG-750N シルバー 幅65×奥行45cm（大型）	stove-guard	1	4
amazon	B00426MLUA	アイリスオーヤマ ストーブガード 四方式 STG-580N シルバー 幅48×奥行38cm	stove-guard	1	3
amazon	B0045EPJW6	アイリスオーヤマ ファンヒーターガード 四方式 FTE-580N シルバー 幅48×奥行37cm	stove-guard	1	1
amazon	B0049E1T2Q	ホンマ製作所 燃焼工房 煙突付き AR-360	tent-wood-stove	1	4
amazon	B004IWR3Z6	Coleman(コールマン)パワーハウス LPツーバーナーストーブII	coleman-two-burner	1	5
amazon	B004IWR45A	コールマン ルミエールランタン 純正LPガス燃料セット 205588	coleman-lantern	1	3
amazon	B004MX6O5G	送料無料 LOGOS/ロゴス ハイパー氷点下クーラーM 12L 81670070 長時間冷蔵 大容量 クーラーボックス ソフトクーラー 保冷バッグ 折りたたみ コンパクト キャンプ アウトドア バーベキュー バイク好き ギフト あす楽対応	camp-cooler-box-beginner;camp-cooler-box-overall	2	2;2
amazon	B004TNWD40	モーラナイフ コンパニオン カーボン	moraknife	1	3
amazon	B004ZAIXSC	モーラナイフ コンパニオン ステンレス	moraknife	1	1
amazon	B0052SR9JK	オンリースタイル 車中泊専用マット 標準サイズ 1枚	car-camp-mat	1	2
amazon	B0053OCWU4	スノーピーク 和鉄ダッチオーブン26 CS-520	dutch-oven	1	2
amazon	B005I6R0WC	サーマレスト Zライトソル R シルバー/レモン 30670 51×183cm	closed-cell-mat;winter-camp-guide	2	1;1
amazon	B005MYCLHE	MIL-TEC スリーピングバッグカバー 防水・透湿 3層式 オリーブグリーン	sleeping-bag-cover	1	4
amazon	B005SKARC8	マルカ 湯たんぽ Aエース 2.5L AF-25（直火・IH対応・袋付き）	hot-water-bottle;winter-camp-guide	2	1;9
amazon	B0065UYDAW	キャプテンスタッグ アルスター火消しつぼ M 木炭 バーベキュー 消火	fire-extinguish-pot	1	3
amazon	B006DFKW9K	DABADA カーボントレッキングポール 2本セット 175g シルバー	trekking-pole	1	1
amazon	B006WBD0M6	コールマン (Coleman) パッカウェイクッカーセット キャンプ用品 ファミリークックウェア 2000010530	camp-cooker-beginner	1	4
amazon	B007FFSVAO	ユニフレーム コーヒーバネット sierra 667767 コーヒードリッパー 軽量 コンパクト	sierra-cup	1	2
amazon	B008ZX5KGI	アイリスオーヤマ ファンヒーター吹出し口ガード FDG-350FL シルバー 幅30〜46cm対応	stove-guard	1	2
amazon	B009SIX3HM	不二貿易 アカシア 木製食器 7点セット ラウンドタイプ	wooden-tableware	1	5
amazon	B00AQY332C	キャプテンスタッグ EVAフォームマット(ダブル) UB-3001 140×217cm	closed-cell-mat	1	4
amazon	B00BDPTNB8	ソネングラス 1000ml ソーラーLEDランタン	solar-lantern	1	5
amazon	B00BG57XOE	グリーンライフ 火おこし兼用火消しつぼ HOT-150 2WAY 火起こし器	fire-extinguish-pot	1	4
amazon	B00BMGCDNS	大進 哲寛 鋼付 ナタ片刃 180MM 鉈 なた ナタ 園芸 ガーデニング 農業 庭 農作業 家庭菜園 キャンプ アウトドア	camp-nata	1	2
amazon	B00CJ2Y4ZY	エリッゼステーク 28cm 5本セット 黒カチオン電着塗装 MK-280K×5 S55C 楕円棒	forged-peg	1	3
amazon	B00CXKVK0Y	ユニフレーム ファイアグリル＋収納ケース 2点セット 683040+683187	uniflame-fire-grill	1	3
amazon	B00CZ7499Y	キャプテンスタッグ ラフォーレ アルミツーウェイサイドテーブル アジャスター付 60×45cm UC-513	captain-stag-table	1	5
amazon	B00CZ749C6	キャプテンスタッグ ラフォーレ アルミツーウェイテーブル アジャスター付 M 60×120cm UC-510	captain-stag-table	1	2
amazon	B00D65QFZU	JPN公式 直流家 タケルくん DC12V専用 車載炊飯器 JPN-JR001 1.5合炊き	camp-rice-cooker	1	3
amazon	B00EE073O8	エリッゼステーク 28cm 8本セット 黒カチオン電着塗装 MK-280K×8 S55C 楕円棒	forged-peg	1	1
amazon	B00ENA16HE	不二貿易 アカシア 木製食器 サラダボウル 幅20×奥行20×高さ7.5cm	wooden-tableware	1	2
amazon	B00ENSNSE0	不二貿易 アカシア 木製食器 ランチプレート 2つ仕切り 幅28×奥行21.5×高さ2.5cm	wooden-tableware	1	1
amazon	B00FR6CFIM	スノーピーク 焚火台 S ST-031R	snowpeak-bonfire	1	2
