page	clicks	impressions	ctr	position
https://www.camp-kit-guide.com/posts/osprey-backpack	158	1900	8.32	8.1
https://www.camp-kit-guide.com/posts/osprey-daily-backpack	110	609	18.06	5.0
https://www.camp-kit-guide.com/posts/camp-backpack-capacity-guide	92	2696	3.41	8.8
https://www.camp-kit-guide.com/posts/mountain-camp-lantern	63	1107	5.69	8.7
https://www.camp-kit-guide.com/posts/family-camp-summer-tent	54	3034	1.78	10.0
https://www.camp-kit-guide.com/posts/fieldoor-tent	54	1108	4.87	6.2
https://www.camp-kit-guide.com/posts/inflatable-mat	48	1133	4.24	11.8
https://www.camp-kit-guide.com/posts/karrimor-backpack	34	501	6.79	7.3
https://www.camp-kit-guide.com/posts/mysteryranch-backpack	34	438	7.76	8.9
https://www.camp-kit-guide.com/posts/kids-sleeping-bag	32	1577	2.03	25.8
https://www.camp-kit-guide.com/posts/coleman-chair	28	576	4.86	7.4
https://www.camp-kit-guide.com/posts/soto-burner	25	819	3.05	6.8
https://www.camp-kit-guide.com/posts/gregory-backpack	22	429	5.13	8.5
https://www.camp-kit-guide.com/posts/deuter-backpack	19	208	9.13	7.9
https://www.camp-kit-guide.com/posts/mountain-backpack-30l	17	383	4.44	13.0
https://www.camp-kit-guide.com/posts/tent-size-beginner-guide	17	693	2.45	8.1
https://www.camp-kit-guide.com/posts/naturehike-tent	15	227	6.61	6.0
https://www.camp-kit-guide.com/posts/waterproof-backpack	14	266	5.26	10.1
https://www.camp-kit-guide.com/posts/family-camp-cot	13	43	30.23	4.7
https://www.camp-kit-guide.com/posts/camp-table-set	12	429	2.80	10.7
https://www.camp-kit-guide.com/posts/solo-tent-lightweight	12	1682	0.71	30.0
https://www.camp-kit-guide.com/posts/torch-burner	12	138	8.70	9.8
https://www.camp-kit-guide.com/posts/car-camp-lighting	11	231	4.76	8.4
https://www.camp-kit-guide.com/posts/group-camp-tent	11	156	7.05	8.0
https://www.camp-kit-guide.com/posts/mountain-tent-cheap	11	138	7.97	8.8
https://www.camp-kit-guide.com/posts/logos-bonfire	9	169	5.33	7.2
https://www.camp-kit-guide.com/posts/sleeping-bag-temperature-guide	9	1515	0.59	22.3
https://www.camp-kit-guide.com/posts/car-side-tarp	8	194	4.12	9.6
https://www.camp-kit-guide.com/posts/iwatani-stove	8	100	8.00	7.1
https://www.camp-kit-guide.com/posts/one-touch-tent	8	80	10.00	6.8
https://www.camp-kit-guide.com/posts/portable-fridge	8	340	2.35	7.9
https://www.camp-kit-guide.com/posts/camp-dust-stand	7	76	9.21	8.5
https://www.camp-kit-guide.com/posts/camp-gear-sale-timing	7	162	4.32	6.3
https://www.camp-kit-guide.com/posts/camp-kettle-recommend	7	94	7.45	8.6
https://www.camp-kit-guide.com/posts/camp-rainwear	6	204	2.94	8.8
https://www.camp-kit-guide.com/posts/forged-peg	6	149	4.03	10.9
https://www.camp-kit-guide.com/posts/ogawa-tent	6	77	7.79	6.0
https://www.camp-kit-guide.com/posts/portable-electric-kettle	6	50	12.00	7.3
