記事slug	記事タイトル	KW	順位	商品名	価格	レビュー平均	レビュー件数	画像URL	商品URL	ショップ名	類似フラグ	採用フラグ
car-camp-bed-kit	車中泊ベッドキット3選｜狭い車も快適に寝られる【2026年版】	車中泊 ベッド キット	1	キャンプ マット 車中泊 [ 極厚 10cm 撥水 1分で自動で膨らむ 22mmの大型バルブ 補修キット付き ] キャンプマット 車中泊マット マットレス エアーマット エアベッド エアマット ベッド 車 テント アウトドア 登山 キャンプ用品 防災 グッズ LAD WEATHER ラドウェザー	5980	4.48	136	https://thumbnail.image.rakuten.co.jp/@0_mall/vanilla-vague/cabinet/images/thumb/ladsheet005-001.jpg	https://hb.afl.rakuten.co.jp/hgc/g00q2udn.20yyl7b1.g00q2udn.20yym238/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fvanilla-vague%2Fladsheet005%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fvanilla-vague%2Fi%2F10522433%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	LAD WEATHER(ラドウェザー)公式		TRUE
car-camp-bed-kit	車中泊ベッドキット3選｜狭い車も快適に寝られる【2026年版】	車中泊 ベッド キット	2	キャンプ マット 車中泊 [ 極厚 10cm 撥水 1分で自動で膨らむ 22mmの大型バルブ 補修キット付き ] キャンプマット 車中泊マット マットレス エアーマット エアベッド エアマット ベッド 車 テント アウトドア 登山 キャンプ用品 防災 グッズ ラドウェザー VR	5980	4.75	4	https://thumbnail.image.rakuten.co.jp/@0_mall/vanilla-vague/cabinet/images/thumb/ladsheet005-001.jpg	https://hb.afl.rakuten.co.jp/hgc/g00q2udn.20yyl7b1.g00q2udn.20yym238/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fvanilla-vague%2Fmedama-ladsheet005%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fvanilla-vague%2Fi%2F10522435%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	LAD WEATHER(ラドウェザー)公式	⚠ 順位?と類似	FALSE
car-camp-bed-kit	車中泊ベッドキット3選｜狭い車も快適に寝られる【2026年版】	車中泊 ベッド キット	3	マルビーレ (MAULBEERE)☆かんたん車中泊ベッドキット 茶木目 【OA011-01-01】 デリカD:5専用設計 【お取り寄せ商品】【同梱発送不可】 【一部地域を除き送料無料】 防水 水洗い可能 PVCターポリン 専用高圧ポンプ バルブレンチ 補修用ボンド サップボード構造	54000	5	1	https://thumbnail.image.rakuten.co.jp/@0_mall/gaobabushop/cabinet/23-leisure11/129-79621.jpg	https://hb.afl.rakuten.co.jp/hgc/g00r0wmn.20yyl70f.g00r0wmn.20yym97d/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fgaobabushop%2F10002465%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fgaobabushop%2Fi%2F10002465%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	アウトドア用品 ガオバブSHOP		FALSE
car-camp-bed-kit	車中泊ベッドキット3選｜狭い車も快適に寝られる【2026年版】	車中泊 ベッド キット	4	マルビーレ (MAULBEERE)☆かんたん車中泊ベッドキット 黒木目 【OA011-01-02】 デリカD:5専用設計【お取り寄せ商品】【同梱発送不可】 【一部地域を除き送料無料】 空気を入れるだけ 組立簡単 3分で完成 コンパクト収納 ボストンバッグ付 防水 水洗い可能 専用高圧ポンプ	54000	0	0	https://thumbnail.image.rakuten.co.jp/@0_mall/gaobabushop/cabinet/23-leisure11/129-79622.jpg	https://hb.afl.rakuten.co.jp/hgc/g00r0wmn.20yyl70f.g00r0wmn.20yym97d/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fgaobabushop%2F10002461%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fgaobabushop%2Fi%2F10002461%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	アウトドア用品 ガオバブSHOP	⚠ 順位?と類似	FALSE
car-camp-bed-kit	車中泊ベッドキット3選｜狭い車も快適に寝られる【2026年版】	車中泊 ベッド キット	5	【全国送料無料】車用ベッド エアーベッド SUV車用ベッド マット 車中泊ベッド アウトドア 電動エアーポンプ付き 車載 キャンプ用 後部座席用 エアーマット ベッドキット キャンプ用品 マットレス エアーピロー2個付き 快適空間 仮眠 ピクニック 旅行 段差解消 進化版	6880	3	1	https://thumbnail.image.rakuten.co.jp/@0_mall/kingstar/cabinet/qomolm/hcqc01.jpg	https://hb.afl.rakuten.co.jp/hgc/g00t2ifn.20yyl13c.g00t2ifn.20yym79d/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkingstar%2Fau-hcqc-k98%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkingstar%2Fi%2F10002747%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	Kingstar		TRUE
car-camp-bed-kit	車中泊ベッドキット3選｜狭い車も快適に寝られる【2026年版】	車中泊 ベッド キット	6	エアーマット 車中泊 キャンプ 防災用 エアーベッド 180×130cm ブラック PVC素材 電動ポンプ付 枕2個 収納袋 修理キット付 コンパクト収納 軽量 大型車対応	7456	0	0	https://thumbnail.image.rakuten.co.jp/@0_mall/herz/cabinet/3/2/0/hbq700-1.jpg	https://hb.afl.rakuten.co.jp/hgc/g00tg2sn.20yylc2c.g00tg2sn.20yym530/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fherz%2Fhbq700%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fherz%2Fi%2F10007198%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	ヘルツ		FALSE
car-camp-bed-kit	車中泊ベッドキット3選｜狭い車も快適に寝られる【2026年版】	車中泊 ベッド キット	7	【楽天スーパーセール★半額】エアーマット PVC 自動膨張 40cm シングル ダブル キングサイズ 極厚 エアーベッド シングルサイズ 自動 補修キット 寝心地 コンパクト ボタン式 厚み エアベッド 無線ポップ アウトドア キャンプ 来客用 車中泊マット 空気ベッド エアーマット	9980	0	0	https://thumbnail.image.rakuten.co.jp/@0_mall/retoo-japan/cabinet/airbed/airbed_st.jpg	https://hb.afl.rakuten.co.jp/hgc/g00u9lgn.20yyld49.g00u9lgn.20yymd19/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fretoo-japan%2Fretoo-airbed-std_ss1%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fretoo-japan%2Fi%2F10001004%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	RETOO公式楽天市場店		FALSE
car-camp-bed-kit	車中泊ベッドキット3選｜狭い車も快適に寝られる【2026年版】	車中泊 ベッド キット	8	エアーマット PVC 自動膨張 40cm シングル ダブル キングサイズ 極厚 エアーベッド シングルサイズ 自動 補修キット 寝心地 コンパクト ボタン式 厚み エアベッド 無線ポップ アウトドア キャンプ 来客用 車中泊マット 空気ベッド エアーマット	11480	4.53	19	https://thumbnail.image.rakuten.co.jp/@0_mall/retoo-japan/cabinet/airbed/airbed_st.jpg	https://hb.afl.rakuten.co.jp/hgc/g00u9lgn.20yyld49.g00u9lgn.20yymd19/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fretoo-japan%2Fretoo-airbed-std%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fretoo-japan%2Fi%2F10000103%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	RETOO公式楽天市場店		TRUE
car-camp-bed-kit	車中泊ベッドキット3選｜狭い車も快適に寝られる【2026年版】	車中泊 ベッド キット	9	エアーベッド マット プレミアム FABRIC PVC 自動膨張 40cm エアベッド シングル ダブル キングサイズ 極厚 キャンプマット 車中泊マット 補修キット 寝心地 コンパクト ボタン式 電動 空気 ベッド エアベッド 電線無 アウトドア マット ペット	19228	3.83	6	https://thumbnail.image.rakuten.co.jp/@0_mall/retoo-japan/cabinet/airbed/airbed_pm.jpg	https://hb.afl.rakuten.co.jp/hgc/g00u9lgn.20yyld49.g00u9lgn.20yymd19/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fretoo-japan%2Fretoo-airbed-p%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fretoo-japan%2Fi%2F10000254%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	RETOO公式楽天市場店		FALSE
car-camp-bed-kit	車中泊ベッドキット3選｜狭い車も快適に寝られる【2026年版】	車中泊 ベッド キット	10	【楽天スーパーセール★半額】エアーベッド マット プレミアム FABRIC PVC 自動膨張 40cm エアベッド シングル ダブル キングサイズ 極厚 キャンプマット 車中泊マット 補修キット 寝心地 コンパクト ボタン式 電動 空気 ベッド エアベッド 電線無 アウトドア マット ペット	15730	0	0	https://thumbnail.image.rakuten.co.jp/@0_mall/retoo-japan/cabinet/airbed/airbed_pm.jpg	https://hb.afl.rakuten.co.jp/hgc/g00u9lgn.20yyld49.g00u9lgn.20yymd19/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fretoo-japan%2Fretoo-airbed-p_ss1%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fretoo-japan%2Fi%2F10001003%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	RETOO公式楽天市場店	⚠ 順位?と類似の可能性	FALSE
